"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1995",33
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1996",29
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1997",6
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1998",6
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1999",9
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2000",10
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2001",3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2002",7
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2003",8
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2004",8
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2005",9
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2006",9
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2007",11
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2008",7
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2009",3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2010",7
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2011",5
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2012",7
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2013",4
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2014",3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2015",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2016",8
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2017",6
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2018",3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2019",3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2020",2
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1971",183
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1972",163
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1973",181
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1974",172
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1975",197
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1976",174
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1977",166
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1978",162
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1979",172
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1980",182
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1981",195
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1982",162
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1983",154
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1984",165
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1985",196
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1986",209
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1987",192
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1988",196
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1989",190
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1990",233
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1991",240
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1992",185
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1993",194
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1994",207
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1995",216
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1996",275
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1997",228
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1998",257
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","1999",274
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2000",254
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2001",265
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2002",277
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2003",287
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2004",267
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2005",281
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2006",266
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2007",391
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2008",370
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2009",373
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2010",381
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2011",340
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2012",250
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2013",277
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2014",267
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2015",225
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2016",221
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2017",245
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2018",210
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2019",178
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2020",180
"Total","04-22 Neoplasms (C00-D48)","1971",8217
"Total","04-22 Neoplasms (C00-D48)","1972",8089
"Total","04-22 Neoplasms (C00-D48)","1973",8180
"Total","04-22 Neoplasms (C00-D48)","1974",8397
"Total","04-22 Neoplasms (C00-D48)","1975",8338
"Total","04-22 Neoplasms (C00-D48)","1976",8690
"Total","04-22 Neoplasms (C00-D48)","1977",8694
"Total","04-22 Neoplasms (C00-D48)","1978",8958
"Total","04-22 Neoplasms (C00-D48)","1979",9094
"Total","04-22 Neoplasms (C00-D48)","1980",9101
"Total","04-22 Neoplasms (C00-D48)","1981",9227
"Total","04-22 Neoplasms (C00-D48)","1982",9196
"Total","04-22 Neoplasms (C00-D48)","1983",9583
"Total","04-22 Neoplasms (C00-D48)","1984",9654
"Total","04-22 Neoplasms (C00-D48)","1985",9720
"Total","04-22 Neoplasms (C00-D48)","1986",9694
"Total","04-22 Neoplasms (C00-D48)","1987",9746
"Total","04-22 Neoplasms (C00-D48)","1988",9849
"Total","04-22 Neoplasms (C00-D48)","1989",9997
"Total","04-22 Neoplasms (C00-D48)","1990",10086
"Total","04-22 Neoplasms (C00-D48)","1991",9888
"Total","04-22 Neoplasms (C00-D48)","1992",10257
"Total","04-22 Neoplasms (C00-D48)","1993",10359
"Total","04-22 Neoplasms (C00-D48)","1994",10035
"Total","04-22 Neoplasms (C00-D48)","1995",10321
"Total","04-22 Neoplasms (C00-D48)","1996",10310
"Total","04-22 Neoplasms (C00-D48)","1997",10415
"Total","04-22 Neoplasms (C00-D48)","1998",10503
"Total","04-22 Neoplasms (C00-D48)","1999",10445
"Total","04-22 Neoplasms (C00-D48)","2000",10492
"Total","04-22 Neoplasms (C00-D48)","2001",10608
"Total","04-22 Neoplasms (C00-D48)","2002",10522
"Total","04-22 Neoplasms (C00-D48)","2003",10705
"Total","04-22 Neoplasms (C00-D48)","2004",10768
"Total","04-22 Neoplasms (C00-D48)","2005",10856
"Total","04-22 Neoplasms (C00-D48)","2006",11046
"Total","04-22 Neoplasms (C00-D48)","2007",11097
"Total","04-22 Neoplasms (C00-D48)","2008",11214
"Total","04-22 Neoplasms (C00-D48)","2009",11310
"Total","04-22 Neoplasms (C00-D48)","2010",11879
"Total","04-22 Neoplasms (C00-D48)","2011",11897
"Total","04-22 Neoplasms (C00-D48)","2012",12070
"Total","04-22 Neoplasms (C00-D48)","2013",12224
"Total","04-22 Neoplasms (C00-D48)","2014",12270
"Total","04-22 Neoplasms (C00-D48)","2015",12481
"Total","04-22 Neoplasms (C00-D48)","2016",12854
"Total","04-22 Neoplasms (C00-D48)","2017",12949
"Total","04-22 Neoplasms (C00-D48)","2018",12902
