"Quarter","Employer sector","Gender","Average earnings"
"2013Q2","All sectors","Total",3255
"2013Q2","All sectors","Males",3558
"2013Q2","All sectors","Females",2956
"2013Q3","All sectors","Total",3269
"2013Q3","All sectors","Males",3572
"2013Q3","All sectors","Females",2971
"2013Q4","All sectors","Total",3283
"2013Q4","All sectors","Males",3589
"2013Q4","All sectors","Females",2982
"2014Q1","All sectors","Total",3287
"2014Q1","All sectors","Males",3592
"2014Q1","All sectors","Females",2988
"2014Q2","All sectors","Total",3295
"2014Q2","All sectors","Males",3600
"2014Q2","All sectors","Females",2996
"2014Q3","All sectors","Total",3308
"2014Q3","All sectors","Males",3610
"2014Q3","All sectors","Females",3013
"2014Q4","All sectors","Total",3317
"2014Q4","All sectors","Males",3622
"2014Q4","All sectors","Females",3021
"2015Q1","All sectors","Total",3329
"2015Q1","All sectors","Males",3637
"2015Q1","All sectors","Females",3029
"2015Q2","All sectors","Total",3337
"2015Q2","All sectors","Males",3646
"2015Q2","All sectors","Females",3036
"2015Q3","All sectors","Total",3346
"2015Q3","All sectors","Males",3655
"2015Q3","All sectors","Females",3046
"2015Q4","All sectors","Total",3358
"2015Q4","All sectors","Males",3672
"2015Q4","All sectors","Females",3054
"2016Q1","All sectors","Total",3364
"2016Q1","All sectors","Males",3669
"2016Q1","All sectors","Females",3067
"2016Q2","All sectors","Total",3371
"2016Q2","All sectors","Males",3675
"2016Q2","All sectors","Females",3075
"2016Q3","All sectors","Total",3372
"2016Q3","All sectors","Males",3674
"2016Q3","All sectors","Females",3077
"2016Q4","All sectors","Total",3378
"2016Q4","All sectors","Males",3683
"2016Q4","All sectors","Females",3080
"2017Q1","All sectors","Total",3386
"2017Q1","All sectors","Males",3688
"2017Q1","All sectors","Females",3089
"2017Q2","All sectors","Total",3392
"2017Q2","All sectors","Males",3692
"2017Q2","All sectors","Females",3097
"2017Q3","All sectors","Total",3398
"2017Q3","All sectors","Males",3696
"2017Q3","All sectors","Females",3105
"2017Q4","All sectors","Total",3406
"2017Q4","All sectors","Males",3707
"2017Q4","All sectors","Females",3112
"2018Q1","All sectors","Total",3425
"2018Q1","All sectors","Males",3732
"2018Q1","All sectors","Females",3124
"2018Q2","All sectors","Total",3456
"2018Q2","All sectors","Males",3760
"2018Q2","All sectors","Females",3156
"2018Q3","All sectors","Total",3466
"2018Q3","All sectors","Males",3768
"2018Q3","All sectors","Females",3167
"2018Q4","All sectors","Total",3472
"2018Q4","All sectors","Males",3777
"2018Q4","All sectors","Females",3171
"2019Q1","All sectors","Total",3493
"2019Q1","All sectors","Males",3798
"2019Q1","All sectors","Females",3192
"2019Q2","All sectors","Total",3533
"2019Q2","All sectors","Males",3837
"2019Q2","All sectors","Females",3233
"2019Q3","All sectors","Total",3544
"2019Q3","All sectors","Males",3850
"2019Q3","All sectors","Females",3242
"2019Q4","All sectors","Total",3557
"2019Q4","All sectors","Males",3867
"2019Q4","All sectors","Females",3251
"2020Q1","All sectors","Total",3566
"2020Q1","All sectors","Males",3875
"2020Q1","All sectors","Females",3262
"2020Q2","All sectors","Total",3589
"2020Q2","All sectors","Males",3902
"2020Q2","All sectors","Females",3280
"2020Q3","All sectors","Total",3606
"2020Q3","All sectors","Males",3916
"2020Q3","All sectors","Females",3300
"2020Q4","All sectors","Total",3620
"2020Q4","All sectors","Males",3932
"2020Q4","All sectors","Females",3313
"2021Q1","All sectors","Total",3642
"2021Q1","All sectors","Males",3962
"2021Q1","All sectors","Females",3329
"2021Q2","All sectors","Total",3684
"2021Q2","All sectors","Males",4001
"2021Q2","All sectors","Females",3375
"2021Q3","All sectors","Total",3700
"2021Q3","All sectors","Males",4017
"2021Q3","All sectors","Females",3392
"2021Q4","All sectors","Total",3715
"2021Q4","All sectors","Males",4033
"2021Q4","All sectors","Females",3406
